year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany
2014,Erfurt,27644,117017,168,342,126.96,NA,NA
2014,Frankfurt,77384,368090,583,3607,102.36,0.4497,0
2014,Hamburg,248279,910773,1356,6086,110.27,0.535,0
2014,Karlsruhe,615117,1372267,4249,8479,101.61,0.2478,0
2014,Köln,279047,818663,6547,15989,105.97,0.7003,0
2014,Lübeck,42536,118690,284,468,83.96,0.1959,0
2014,Münster,156460,326542,4109,8853,101.98,0.3931,0
2014,Potsdam,37782,112099,967,1834,95.71,0.2,1
2014,Stuttgart,889402,1967892,5411,13505,110.06,0.2979,0
2014,Wiesbaden,37496,141633,110,549,86.47,0.2235,0
2015,Berlin,340999,1950342,4022,17408,102.07,0.3703,0
2015,Bonn,55984,165731,239,1156,102.87,0.472,0
2015,Chemnitz,33382,170225,204,426,69.06,0.25,1
2015,Dortmund,95068,316175,348,897,82.76,0.6583,0
2015,Dresden,57301,297631,373,1507,119.09,0.6,1
2015,Duisburg,81930,266702,186,370,82.07,0.6479,0
2015,Düsseldorf,197331,592509,4183,9495,114.18,0.5091,0
2015,Erfurt,27812,117359,226,287,124.24,NA,NA
2015,Frankfurt,77967,371697,407,4119,115.52,0.4497,0
2015,Hamburg,249635,916859,1760,7665,116.88,0.535,0
2015,Karlsruhe,619366,1380746,4377,8588,114.23,0.2478,0
2015,Köln,285594,834652,5439,13981,112.35,0.7003,0
2015,Lübeck,42820,119158,45,93,90.01,0.1959,0
2015,Münster,160569,335395,3954,8186,107.96,0.3931,0
2015,Potsdam,38749,113933,1075,2090,104.19,0.2,1
2015,Stuttgart,894813,1981397,5388,14449,122.02,0.2979,0
2015,Wiesbaden,37606,142182,183,633,89.73,0.2235,0
2016,Berlin,345021,1967750,4434,21216,115.93,0.3703,0
2016,Bonn,56223,166887,203,1450,109.11,0.472,0
2016,Chemnitz,33586,170651,231,306,68.27,0.25,1
2016,Dortmund,95416,317072,433,857,86.5,0.6583,0
2016,Dresden,57674,299138,465,2542,122.74,0.6,1
2016,Duisburg,82116,267072,139,321,87.47,0.6479,0
2016,Düsseldorf,201514,602004,4300,11701,123.64,0.5091,0
2016,Erfurt,28038,117646,114,254,140.47,NA,NA
2016,Frankfurt,78374,375816,456,3554,124.37,0.4497,0
2016,Hamburg,251395,924524,1438,7050,130.58,0.535,0
2016,Karlsruhe,623743,1389334,3992,9036,123.66,0.2478,0
2016,Köln,291033,848633,5448,15792,120.38,0.7003,0
2016,Lübeck,42865,119251,256,840,99.93,0.1959,0
2016,Münster,164523,343581,3924,9200,117.3,0.3931,0
2016,Potsdam,39824,116023,1063,2562,113.58,0.2,1
2016,Stuttgart,900201,1995846,5002,13716,138.63,0.2979,0
2016,Wiesbaden,37789,142815,161,469,94.49,0.2235,0
2017,Berlin,349455,1988966,3886,25570,126.51,0.3703,0
2017,Bonn,56426,168337,190,1259,113.06,0.472,0
2017,Chemnitz,33817,170957,252,478,73.14,0.25,1
2017,Dortmund,95849,317929,568,1315,92.56,0.6583,0
2017,Dresden,58139,301680,401,2245,134.62,0.6,1
2017,Duisburg,82255,267393,238,540,88.6,0.6479,0
2017,Düsseldorf,205814,613705,4010,12752,126.93,0.5091,0
2017,Erfurt,28152,117900,203,410,145.3,NA,NA
2017,Frankfurt,78830,379370,463,4121,134.44,0.4497,0
2017,Hamburg,252833,931574,1700,6828,142.63,0.535,0
2017,Karlsruhe,627735,1398370,4126,9446,129.12,0.2478,0
2017,Köln,296481,864425,5150,13916,128.39,0.7003,0
2017,Lübeck,43121,120091,130,371,112.69,0.1959,0
2017,Münster,168447,352781,4047,9916,125.04,0.3931,0
2017,Potsdam,40887,118585,971,2399,116.26,0.2,1
2017,Stuttgart,905203,2009562,4860,13504,152.85,0.2979,0
2017,Wiesbaden,37950,143284,82,376,101.03,0.2235,0
2018,Berlin,353341,2014536,4202,28654,142.23,0.3703,0
2018,Bonn,56616,169596,223,1154,118.04,0.472,0
2018,Chemnitz,34069,171435,165,377,72.73,0.25,1
2018,Dortmund,96417,319244,517,1409,97.62,0.6583,0
2018,Dresden,58540,303925,379,2103,140.13,0.6,1
2018,Duisburg,82493,267933,244,712,94.22,0.6479,0
2018,Düsseldorf,209824,626457,3934,12111,138.1,0.5091,0
2018,Erfurt,28355,118310,122,433,154.16,NA,NA
2018,Frankfurt,79293,383491,386,3318,146.6,0.4497,0
2018,Hamburg,254533,938402,1882,9700,149.83,0.535,0
2018,Karlsruhe,631861,1407816,4298,9484,135.72,0.2478,0
2018,Köln,301631,878341,5156,15736,141.67,0.7003,0
2018,Lübeck,43251,120462,97,421,118.34,0.1959,0
2018,Münster,172494,362697,3844,8741,136.48,0.3931,0
2018,Potsdam,41858,120984,889,2979,139.36,0.2,1
2018,Stuttgart,910063,2023066,5109,13851,159.7,0.2979,0
2018,Wiesbaden,38032,143660,120,611,104.8,0.2235,0
2019,Berlin,357543,2043190,4288,33538,158.97,0.3703,0
2019,Bonn,56839,170750,226,1110,119.37,0.472,0
2019,Chemnitz,34234,171812,153,442,78.06,0.25,1
2019,Dortmund,96934,320653,335,1306,108.9,0.6583,0
2019,Dresden,58919,306028,302,2350,150.71,0.6,1
2019,Duisburg,82737,268645,232,585,103.82,0.6479,0
2019,Düsseldorf,213758,638568,4212,12969,141.78,0.5091,0
2019,Erfurt,28477,118743,81,233,160.36,NA,NA
2019,Frankfurt,79679,386809,406,4019,155.97,0.4497,0
2019,Hamburg,256415,948102,1900,9079,159.23,0.535,0
2019,Karlsruhe,636159,1417300,3792,8210,144.35,0.2478,0
2019,Köln,306787,894077,5380,15041,148.18,0.7003,0
2019,Lübeck,43348,120883,137,810,129.97,0.1959,0
2019,Münster,176338,371438,3831,9294,142.33,0.3931,0
2019,Potsdam,42747,123963,932,2493,164.34,0.2,1
2019,Stuttgart,915172,2036917,4678,12523,171.42,0.2979,0
