year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany,grow5_index_ann,grow5_hu_ann,p_q5,growth5sum,demand_cutoff,demand_cutoff_lag,inelasticity_cutoff,inelasticity_cutoff_lag,p_q5_lag,growth5sum_lag,superstar,growth_window,superstar_ever
2020,Köln,312167,909118,4878,13933,162.85,0.7003,0,NA,NA,NA,NA,NA,NA,0.06229878506591757,0.01386485361565426,4.49328833847755,0.07616363868157183,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,3.431216086959625,0.061150295309391645,1,NA,1
2020,Leipzig,61449,329716,336,2892,200.44,0.25,1,NA,NA,NA,NA,NA,NA,0.09327958861707075,0.0033941501153254006,27.48245818471348,0.09667373873239615,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
2020,Lübeck,43485,121693,264,910,140.28,0.1959,0,NA,NA,NA,NA,NA,NA,0.07018774626365976,0.004062422232032237,17.277314433302557,0.07425016849569199,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,27.29337390172086,0.05647205822727508,0,NA,1
2020,Münster,180169,380732,4105,10085,155.74,0.3931,0,NA,NA,NA,NA,NA,NA,0.05832835412096116,0.0207468495070966,2.81143188034451,0.07907520362805776,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,2.4507554333412442,0.07474328527424645,1,NA,1
2020,Potsdam,43679,126456,771,1529,186.92,0.2,1,NA,NA,NA,NA,NA,NA,0.10476722500727331,0.017370334519273722,6.0313878751745404,0.12213755952654703,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,4.121021019116825,0.06488584927481811,1,NA,1
2020,Stuttgart,919850,2049440,5154,13636,180.6,0.2979,0,NA,NA,NA,NA,NA,NA,0.05431917355369298,0.005313781219429714,10.22232028580255,0.05963295477312269,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,11.944441657118508,0.06976636248990542,0,NA,1
2020,Wiesbaden,38271,144664,232,743,115.8,0.2235,0,NA,NA,NA,NA,NA,NA,0.04151263300292296,0.002576057484149352,16.114792957204127,0.04408869048707231,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,6.802229218579347,0.02248280124063573,0,NA,0
2021,Berlin,365009,2106136,3736,28268,200.74,0.3703,0,NA,NA,NA,NA,NA,NA,0.09673527658940562,0.011513795980555797,8.401684097301157,0.10824907256996141,0.07678167460619756,0.05975308402908386,0.5322569561262933,0.5322569561262933,12.034166367584051,0.08256239112799935,1,NA,1
2021,Bonn,57229,172924,126,1185,140.58,0.472,0,NA,NA,NA,NA,NA,NA,0.04453479505299507,0.005391335034872435,8.260439161160164,0.049926130087867504,0.07678167460619756,0.05975308402908386,0.5322569561262933,0.5322569561262933,8.678245640352364,0.04744333955042146,0,NA,0
2021,Chemnitz,34558,172664,131,243,101.98,0.25,1,NA,NA,NA,NA,NA,NA,0.06873986756307549,0.001989064883132885,34.55888651294595,0.07072893244620837,0.07678167460619756,0.05975308402908386,0.5322569561262933,0.5322569561262933,7.86640700689598,0.014007015491599661,0,NA,0
